,stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes
40,Renee Adoree,1920-1930,de la Font\`e,Jeanne,F,1898,1933,R:exotic,\Fr,,
41,Mario Adorf,1959-1981,Adorf,Mario,M,1930,199x,R:European films,\Zw,,
42,Max Adrian,1934-1971,Bor,Max,M,1902,1973,R:high camp personality,\Ir,,
43,John Agar,1948-1976,Agar,John,M,1921,199x,R:lead,\Am,,Mt(Shirley Temple)
44,Rati Agnihotri,1985,bn,fn,F,1960,199x,R:modern dancer,\In,,
45,Jenny Agutter,1964-1981,Agutter,Jenny,F,1952,199x,R:lead,\Br,,
46,Brian Aherne,1924-1967,Aherne,Brian,M,1902,1986,R:gentle lead,\Br,,
47,Philip Ahn,1936-1975,Ahn,Philip,M,1911,1978,R:Asiatic,\Am,,
48,Anouk Aim\'ee,1947-1983,Dreyfus,Fran{\c}coise Sorya,F,1932,199x,R:poised heartthrob,\Fr,,
49,Richard Ainley,1936-1949,Ainley,Richard,M,1910,1967,RU:,\Br,,Ch(Henry Ainley)
50,Maria Aitkins,1989,,,F,[1][23],199x,RU:,\Un,,Cit(1)
51,Franklyn Ajaye,1976-1978,,,M,1949,199x,RU:,\Am,,
52,Muriel Aked,1922-1953,Aked,Muriel,F,1887,1955,"R:comedy spinster, gossip",\Br,,
53,Claude Akins,1953-1979,Akins,Claude,M,1918,1994,"R:western villain, burly middle-aged hero",\Am,,
54,Serap Aksoy,1991,Aksoy,Serap,F,,199x,R:sr,\Tu,,Nt(ex-ballerina)
55,Josh Albee,1979,,,M,[1],199x,RU:,\Un,,Cit(0)
56,Anna Maria Alberghetti,1951-1960,Alberghetti,Anna Maria,F,1936,199x,R:singer,\It,,Also(operatic singer)
57,Han Albers,1923-1960,Albers,Han,M,1892,199x,R:lead,\Ge,,
58,Eddie Albert,1938-1982,Heimberger,Eddie Albert,M,1908,199x,R:honest Joe,\Am,,
59,Edward Albert,1965-1982,Albert,Edward,M,1951,199x,R:light,\Am,,Ch(Eddie Albert)
60,Edward Albert~jr.,,,,M,[1],199x,RU:,\Un,,Cit(0)
61,William Albert,1982,,,M,[1],199x,RU:,\Un,,Cit(0)
62,Frank Albertson,1928-1963,Albertson,Frank,M,1907,1981,R:straight,\Am,,Ww(Hitchcock)
63,Jack Albertson,1947-1978,Albertson,Jack,M,1907,1981,R:character,\Am,,
64,Mabel Albertson,1939-1970,Albertson,Mabel,F,1901,1982,"R:nosey neighbour, wise and witty grandma",\Am,,
65,Hardie Albright,1931-1957,Albrecht,Hardy,M,1903,1971,R:underused lead,\Am,,
66,Lola Albright,1949-1968,Albright,Lola,F,1925,199x,"R:stylish, tough-talking",\Am,,
67,Alan Alda,1963-1982,Alda,Alan,M,1936,199x,R:lead,\Am,.tiff,Ch(Robert Alda)
68,Robert Alda,1945-1976,d'Abruzzo,Alphonso,M,1914,1986,RU:,\Un,,|
69,Rutanya Alda,1978-1982,,,F,[1],199x,R:},\Un,,Cit(2)
70,John Alderton,1964-1976,Alderton,John,M,1940,199x,R:light lead,\Br,,Mt(Pauline Collins)
71,Vera Alentova,1980,,,F,[1],199x,RU:,\Un,,Cit(0)
72,Ben Alexander,1917-1957,Alexander,Nicholas Benton,M,1911,1969,R:boy actor,\Am,,
73,Jane Alexander,1970-1983,Quigley,Jane,F,1939,199x,R:regal,\Am,,
74,John Alexander,1936-1960,Alexander,John,M,1901,1982,R:portly,\Am,,
75,Katherine Alexander,1934-1949,Alexander,Katherine,F,1901,1981,R:sympathetic,\Am,,
76,Ross Alexander,1932-1937,Alexander,Ross,M,1907,1937,R:lead,\Am,,
77,Sandy Alexander,1983,,,,[1],199x,RU:,\Un,,Cit(0)
78,Terence Alexander,1951-1979,Alexander,Terence,M,1923,199x,R:ineffectual,\Br,,
79,Hope AlexanderWells,,,,F,[1],199x,RU:,\Un,,|
80,Muhammed Ali,1977,Clay,Cassius,M,1942,199x,RU:,Black-\Am,,Also(boxing champion)
81,Dorothy Alison,1952-1972,Alison,Dorothy,F,1925,199x,RU:,\Au,,
82,Andrea Allan,,,,F,[1],199x,RU:,\Un,,|
83,Elizabeth Allan,1931-1958,Allan,Elizabeth,F,1908,199x,R:delicate or aristocratic heroines,\Br,,
84,William Alland,1941-1961,Alland,William,M,1916,199x,R:enquiring reporter,\Am,,Ww(Orson Welles)
85,Chesney Allen,1935-1944,Allen,Chesney,M,1894,1982,R:light comedian,\Br,,
86,Catherine Allegret,1965,,,F,,199x,RU:,\Fr,,Ch(Simone Signoret)
87,Elizabeth Allen,1960-1972,Gillease,Elizabeth,F,1934,199x,R:lead,\Am,,
88,Fred Allen,1935-1953,Sullivan,John F.,M,1894,1956,R:lead,\Am,,Also(comedienne)
89,Gracie Allen,1933-1944,Allen,Gracie,F,1902,1964,R:scatterbrained comedienne,\Am,[4.95],Mt(George Burns) Er(dob 1906)
90,Karen Allen,1978-1982,Allen,Karen,F,1955,199x,R:lead,\Am,,
91,Nancy Allen,1973-1983,Allen,Nancy,F,1954,199x,R:lead,\Am,,Mt(Brian dePalma)
92,Patrick Allen,1955-1982,Allen,Patrick,M,1927,199x,R:lead,\Br,,
93,Rae Allen,,,,,[1],199x,RU:,\Un,,|
94,Steve Allen,1949-1989,Allen,Steve,M,1921,199x,R:dry comic,\Am,,"Also(radio, TV)"
95,Woody Allen,1965-1983,Konigsberg,Allen Stewart,M,1935,199x,R:confused innocent,\Am,[4.818][4.2],"Mt(Harlene Rosen, Louise Lasser, Mia Farrow, Sun Yee)"
96,Joseph Allen~jr.,,,,M,[1],199x,RU:,\Un,[4.780],
97,Kirstie Alley,1982-1990,Alley,Kirstie,F,[1],199x,R:spunky,\Am,,
98,Sara Allgood,1918-1950,Allgood,Sara,F,1883,1950,R:amiable,\Ir,,Ww(Hitchcock)
99,Claud Allister,1929-1953,Palmer,Claud,M,1891,1970,R:silly monocled,\Br,,
100,Astrid Allwyn,1932-1943,Allwyn,Astrid,F,1909,1978,R:lead,\Sw,,
101,June Allyson,1943-1978,Geisman,Ella,F,1917,199x,R:tomboy tease,\Am,,Mt(dick Powell)
102,Pedro Almodovar,,Almodovar,Pedro,M,[1],199x,R:wild,\Sp,,Mainly(D)
103,Maria Conchita Alonso,,,,F,[1],199x,RU:,\Un,,Cit(1)
104,Corinne Alphen,1983,,,F,[1],199x,R:beauty,\Un,,Cit(2)
105,Kirk Alyn,1942-1950,Alyn,Kirk,M,1910,199x,R:lead,\Am,,
106,Betty Amann,,,,F,[1],199x,RU:,\Un,,Cit(1)
107,Leonora Amar,,,,F,[1],199x,RU:,\Un,,Cit(1)
108,Don Ameche,1936-1983,Amici,Dominic Felix,M,1908,1993,R:pleasant hero,\Am,,
109,Lucio Amelio,,,,M,[1],199x,RU:,\Un,,Cit(1)
110,Leon Ames,1932-1972,Wycoff,Leon,1903,1993,199x,"R:harassed or kindly father, suave professional man",\Am,,Mainly(TV; Mr.Ed's neighbor)
111,Ramsay Ames,1944-1963,Philips,Ramsay,F,1919,199x,R:lead,\Am,,
112,Suzy Amis,1993,Amis,Suzy,F,1962,199x,R:handsome,\Am,,Mt(Sam Robard)
113,John Amos,,,,M,[1],199x,RU:,\Un,,Cit(2)
114,John Amplas,,,,M,[1],199x,RU:,\Un,,Cit(1)
115,Dev Anand,1958-1980,bn,fn,M,,199x,R:hero,\In dian,,Nt(like Gregory Peck)
116,Glenn Anders,1930-1951,Anders,Glenn,M,1889,1981,R:sinister,\Am,,
117,Luana Anders,1958-1982,Anders,Luana,F,1949,199x,R:lead,\Am,,
118,Merry Anders,1952-1958,Anders,Merry,F,1932,199x,R:light lead,\Am,,
119,Bridgette Andersen,,,,F,[1],199x,RU:,\Un,,|
120,Bibi Anderson,,,,M,[1],199x,R:transvestite,,,
121,E. Erich Anderson,,,,M,[1],199x,RU:,\Un,,|
122,Rochester,1930-1965,Anderson,Eddie,M,1905,1977,R:black comedian,\Am,,
123,G.M. Anderson,1903-1965,Aronson,Max,M,1882,1971,R:cowboy,\Am,,Ty(Bronco Billy) Fd(Essanay) Aw(AA special 1957)
124,Harriet Anderson,1955,Anderson,Harriet,F,[1],199x,R:nude villain,\Sw,[18.228],
125,Herbert Anderson,194-1969,Anderson,Herbert,M,1917,199x,R:mild-mannered,\Am,,
126,Ingrid Anderson,,,,F,[1],199x,RU:,\Un,,|
127,Jean Anderson,1947-1979,Anderson,Jean,F,1908,199x,"R:sympathetic nurse, tired mother, spinster aunt",\Br,,
128,John Anderson,1958-1978,Anderson,John,M,1922,199x,"R:Tall, thin, pale-eyed",\Am,,Ww(Hitchcock)
129,Judith Anderson,1933-1984,Anderson,Dame Frances Margaret,F,1898,1992,R:icy presence,\Au,,Ww(Hitchcock)
130,Lindsay Anderson,1981,Anderson,Lindsay,M,1923,199x,RU:,\Br,,"Also(D, critic)"
131,Loni Anderson,1977,Anderson,Loni,F,1947,199x,R:sexy blonde,\Am,,"Mt(Ross Bickel,Burt Reynolds,)"
132,Mary Anderson,1939-1953,Anderson,Mary,F,1920,199x,R:supporting,\Am,,Ww(Hitchcock)
133,Melissa Sue Anderson,,,,F,[1],199x,RU:,\Un,,|
134,Michael Anderson~jr.,1957-1971,Anderson,Michael,M,1943,199x,R:juvenile lead,,,Ch(Michael Anderson)
135,Richard Anderson,1951-1978,Anderson,Richard,M,1926,199x,R:thoughtful-looking,\Am,,
136,Rona Anderson,1948-1969,Anderson,Rona,F,1926,199x,RU:,\Br; Scots,,
137,Warner Anderson,1943-1968,Anderson,Warner,M,1911,1976,"R:solid presence, no outstanding personality",\Am,,
138,Bibi Andersson,1955-1983,Andersson,Bibi,F,1935,199x,RU:,\Sw,,
139,Harriet Andersson,1952-1972,Andersson,Harriet,F,1932,199x,RU:,\Am,,Nt(member of Ingmar Bergman's co.)
140,Carole Andre,,,,F,[1],199x,RU:,\Un,,|
141,Gabe Andre,,,,,[1],199x,RU:,\Un,,|
142,Fr\'ed\'ric Andrei,,,,M,[1],199x,RU:,\Un,,|
143,Ursula Andress,1954-1981,Ursula,Andress,F,1936,199x,R:sex bomb,\Zw,,Lw(Harry Hamlin)
144,Anthony Andrews,1974-1981,Andrews,Anthony,M,1948,199x,R:lead,\Br,,
145,Brian Andrews,,,,M,[1],199x,RU:,\Un,,|
146,Dana Andrews,1940-1979,Andrews,Carver Daniel,M,1909,1992,R:hard,\Am,[4.738],Mt(Mary Todd) Si(Dave Forest)
147,Eamonn Andrews,,Andrews,\'Eamonn,M,,1987,RU:,\Ct,Cit(0),|
148,Edward Andrews,1955-1979,Andrews,Edward,M,1914,199x,"R:beaming, bespectacled",\Am,,
149,Harry Andrews,1952-1980,Andrews,Harry,M,1911,1989,R:tough,\Br,,
150,Julie Andrews,1964-1983,Wells,Julia,F,1934,199x,R:wholesome singer,\Br,,Ww(Hitchcock)
151,The Andrews Sisters,1940-1948,"Patty, Maxine, Laverne",Andrews,G,1913,199x,RU:,\Am,,Nt(harmony singing group)
152,Stanley Andrews,1934-1958,Andrews,Stanley,M,1892,1969,R:grizzled western veteran,\Am,,
153,Heather Angel,1930-1962,Angel,Heather,F,1909,199x,R:lead,\Br,,
154,Pier Angeli,1950-1972,Pierangeli,Anna Maria,F,1932,1971,R:sensitive,\It,"[4.939,940]",Si(Marisa Pavan)
155,The Hells Angels,,,,G,[1],199x,RU:,\Un,,|
156,Maya Angelou,1993,Angelou,Maya,F,1929,199x,R:poet,\Am,,
157,Muriel Angelus,1930-1940,Findlay,M.A.,F,1909,199x,R:lead,\Br,,
158,Ivy Angustain,,,,F,[1],199x,RU:,\Un,,|
159,Evelyn Ankers,1933-1960,Ankers,Evelyn,F,1918,199x,"R:looked decorative, well-bred heroine",\Br,[16:541],Nt(born in Chile) Mt(richard Denning)
160,Morris Ankrum,1940-1961,Morris,Stephen,M,1896,1964,"R:lawyer, judge, Western villain",\Am,,
161,Francesca Annis,1958-1983,Annis,Francesca,F,1944,199x,R:lead,\Br,,
162,AnnMargret,1961-1983,Olsson,Ann-Margret,F,1941,199x,R:sex symbol,\Sw-\Am,[4.15],
163,Michael Ansara,1944-1974,Ansara,Michael,M,1922,199x,R:Indian,\Am,,
164,Karen Anspach,,,,F,[1],199x,RU:,\Un,,|
165,Susan Anspach,1970-1983,Anspach,Susan,F,1939,199x,R:stage,\Am,,
166,Adam Ant,,,,M,[1],199x,RU:,\Un,,|
167,Lysette Anthony,,,,F,[1],199x,RU:,\Un,,|
168,Michael Anthony,,,,M,[1],199x,RU:,\Un,,|
169,Susan Anton,,,,F,[1],199x,RU:,\Un,,|
170,Laura Antonelli,,,,F,[1],199x,RU:,\Un,,|
171,Lou Antonio,,,,M,[1],199x,RU:,\Un,,|
172,Scott Antony,1972-1974,Antony,Scott,M,1950,199x,R:lead juvenile,\Br,,
173,Aquanetta,1942-1946,Davenbort,Burnu,F,1920,199x,R:exotic,\Am,,
174,Alfonso Arau,,,,M,[1],199x,RU:,\Un,,|
175,Roscoe Abuckle,1913-1921,Arbuckle,Roscoe (Fatty),M,1887,1933,R:comic,\Am,,Also(D: William Goodrich)
176,Allan Arbus,,,,M,[1],199x,RU:,\Un,,|
177,Anne Archer,1970-1982,Archer,Anne,F,,199x,R:lead,\Am,,
178,Fanny Ardant,1981-1984,Ardant,Fanny,F,1949,199x,R:lead,\Fr,,
179,Eve Arden,1929-1982,Quedens,Eunice,F,1912,1990,"R:best, cool friend",\Am,,
180,Carmen Argenziano,,,,F,[1],199x,RU:,\Un,,|
181,Adam Arkin,,,,M,[1],199x,RU:,\Un,,|
182,Alan Arkin,1966-1983,Arkin,Alan,M,1934,199x,R:lead,\Am,,
183,David Arkin,,,,M,[1],199x,RU:,\Un,,|
184,Richard Arlen,1925-1976,van Mattemore,Cornelius,M,1898,1976,R:rugged hero,\Am,,
185,Arletty,1931-1972,Bathiat,Leonie,F,1898,1992,R:world-weary,\Fr,,
186,George Arliss,1921-1937,Andrews,George Augustus,M,1868,1946,R:autocratic,\Br,,
187,Pedro Armendariz,1936-1963,Armendariz,Pedro,M,1912,1963,R:expansive,\Me,,
188,Henry Armetta,1918-1946,Armetta,Henry,M,1888,1945,"R:excitable, gesticulating foreigner",\It,,
189,Bess Armstrong,1982-1983,Armstrong,Bess,F,,199x,R:lead,\Am,,
190,Curtis Armstrong,,,,M,[1],199x,RU:,\Un,,|
191,Louis Armstrong,1936-1969,Armstrong,Louis `Satchmo',M,1900,1971,R:black jazz musician,\Am,,
192,R.G. Armstrong,1958-1982,Armstrong,R.G.,M,1920,199x,R:tough serious,\Am,,Ww(Hitchcock)
193,Robert Armstrong,1927-1963,Smith,Donald Robert,M,1890,1973,"R:tough cop, scientist",\Am,[4.103],
194,Todd Armstrong,1962-1968,Armstrong,Todd,M,1939,199x,R:stalwart lead,\Am,,
195,Yvonne Arnaud,1920-1958,Arnaud,Yvonne,F,1892,1958,RU:,\Fr,,Also(pianist)
196,Lucie Arnaz,1975-1983,Arnaz,Lucie,F,1951,199x,R:lead,,,"Ch(Lucille Ball, Desi Arnaz)"
197,Desi Arnaz,1950-1982,Arnaz y de Acha,Desiderio,M,1915,1986,R:diminutive explosive romantic,\Cu,,"Mt(Lucille Ball, Mack `Edie' Hirsch) Fd(Desilu Studios)"
198,Desi Arnaz~jr.,1970-1983,Arnaz,Desi,M,1953,199x,R:juvenile lead,\Am,,"Ch(Lucille Ball,Desi Arnaz)"
199,Peter Arne,1955-1982,Albrecht,Peter Arne,M,1920,1983,R:villain,\Br,,
200,James Arness,1947-1981,Aurness,James,M,1923,199x,R:giant,\Am,,Si(Peter Graves)
201,Jeanetta Arnette,,,,F,[1],199x,RU:,\Un,,|
202,Edward Arnold,1916-1956,Schneider,Guenther,M,1890,1956,R:dynamic rotund,\Am,,
203,Mark Arnott,,,,M,[1],199x,RU:,\Un,,|
204,Charles Arnt,1934-1962,Arnt,Charles,M,1908,199x,"R:snoop, suspicious, or plain ordinary fellow",\Am,,
205,Rosanna Arquette,,,,F,[1],199x,RU:,\Un,,|
206,Antonin Artaud,1926-1928,Artaud,Antonin,M,1895,1948,R:dabbling writer,\Fr,,
207,Beatrice Arthur,1972-1983,Frankel,Bernice,F,1923,199x,R:dominant comedy,\Am,,
208,George K. Arthur,1921-1935,Brest,G.K.A.,M,1899,199x,R:small but gamy,\Br,,
209,Jean Arthur,1923-1966,Greene,Gladys,F,1905,1991,R:squeaky petite feminist,\Am,,
210,Linda Arvidson,1908-1916,Arvidson-Griffith,Linda,F,1884,1949,R:lead,\Am,,Mt(W.D.Griffiths) Also(W)
211,Leslie Ash,,,,,[1],199x,RU:,\Un,,|
212,Peggy Ashcroft,1933-1978,Ashcroft,Dame Peggy,F,1907,1991,R:royal,\Br,,Ww(Hitchcock) lW(Paul Robeson)
213,Jane Asher,1951-1972,Asher,Jane,F,1946,199x,R:lead,\Br,,
214,Ren\`ee Asherson,1944-1968,Asherson,Ren,F,1920,199x,RU:,\Br,,
215,Edward Ashley,1933-1976,Cooper,E.A.,M,1904,199x,R:third lead,\Br,,
216,Elizabeth Ashley,1964-1982,Cole,Elizabeth,F,1939,199x,R:cold sporadic,\Am,,Lw(George Peppard)
217,Jennifer Ashley,,,,F,[1],199x,RU:,\Un,,|
218,John Ashley,,,,M,[1],199x,RU:,\Un,,|
219,Gregoire Asian,,,,,[1],199x,RU:,\Un,,|
220,Luke Askew,1967-1979,Askew,Luke,M,,199x,R:western,\Am,,
221,Arthur Askey,1937-1972,Askey,Arthur,M,1900,1982,R:diminutive,\Br,,
222,Ed Asner,1963-1983,Asner,Edward,M,1929,199x,R:chubby tough,\Am,[34.259],Ww(Hitchcock)
223,Chuck Aspegren,,,,M,[1],199x,RU:,\Un,,|
224,Armand Assante,,,,M,[1],199x,RU:,\Un,,|
225,Asta,1934-1947,,,A,,199x,R:wire-haired fox terrier,\Un,[4.1066],
226,Adele Astaire,,,,M,,1981,RU:,\Ct,,Cit(0)
227,Fred Astaire,1933-1981,Austerlitz,Frederick,M,1899,1987,R:dancer,\Am,"[4.390,1005]",St(MGM) Aw(AFI#5)
228,Nils Asther,1927-1963,Asther,Nils,M,1897,1981,"R:suave, exotic",\Sw,,
229,John Astin,1961-1977,Astin,John,M,1930,199x,R:comic,\Am,,
230,Patty Duke Astin,1955-1982,Duke Astin,Patty,F,1946,199x,RU:,\Am,,Mt(John Astin)
231,Gertrude Astor,1927-1962,Astor,Gertrude,F,1887,1977,R:silent screen,\Am,[18.209],
232,Mary Astor,1921-1964,Langehanke,Lucille,F,1906,1987,"R:solid, character",\Am,[4.1083],
233,William Atherton,1972-1983,Atherton,William,M,1947,199x,RU:,\Am,,
234,Christopher Atkins,1980-1983,Atkins,Christopher,M,1961,199x,R:juvenile lead,\Am,,
235,Eileen Atkins,1968-1983,Atkins,Eileen,F,1934,199x,R:character,\Br,,
236,Kiyoshi Atsumi,1969-1996,Tadoroko,Yasuo,M,1928,1996,\Jp,"R:peddler: Tora-san In(Ser(""Otoko wa Tsurayo"" It's hard being a man #1 1969, #49 1996, D(Yiji Yamada)))",,
237,Richard Attenborough,1942-1979,Attenborough,Sir Richard,M,1923,199x,"R:coward, `wide range'",\Br,,
238,Malcolm Atterbury,1954-1964,Atterbury,Malcolm,M,1907,199x,R:character,\Am,,
239,Edith Atwater,1936-1976,Atwater,Edith,F,1911,199x,R:lead,\Am,,Ww(Hitchcock) Mt(Kent Smith)
240,Lionel Atwill,1919-1946,Atwill,Lionel,M,1885,1946,R:teutonic villains,\Br,"[18.206,207]",
241,Kim Atwood,,,,,[1],199x,RU:,\Un,,|
242,Brigitte Auber,1955,,,F,"[1,6]",199x,RU:,\Un,,Ww(Hitchcock)
243,Rene Auberjonois,1970-1980,Auberjonois,Ren\'e,M,1940,199x,R:character,\Am,,
244,Lenore Aubert,1938-1949,Aubert,Leonore,F,1913,199x,R:sinister,\Yu,,
245,Cecile Aubry,1949-1954,Benard,Anne-Jes\`e,F,1929,199x,R:petit,\Fr,,
246,Joss Auckland,,,,M,[1],199x,RU:,\Un,,|
247,Michael Auclair,1946-1973,Vujovic,Vladimir,M,1922,199x,R:lead,\Fr,,
248,Maxine Audley,1954-1969,Audley,Maxine,F,1923,199x,R:character,\Br,,
249,Stephane Audran,1958-1982,Audran,St\'ephane,F,1932,199x,R:cool,\Fr,,
250,Audrey,,,,,[1],199x,RU:,\Un,,|
251,Mischa Auer,1928-1966,Ounskowsky,Mischa,M,1905,1967,"R:wild, noble idiot",\Ru,,
252,Claudine Auger,1963-1980,Auger,Claudine,F,1942,199x,R:lead,\Fr,,
253,Marie Ault,1924-1949,Cragg,Mary,F,1870,1951,R:dialect comedy,\Br,,
254,JeanPierre Aumont,1931-1983,Salomons,Jean-Pierre,M,1909,199x,R:lead,\Fr,,
255,John Austin,,,,M,[1],199x,RU:,\Un,,|
256,Daniel Auteuil,1985,,Auteuil,Daniel,M,[1],199x,RU:,\Fr,Lw(Emanuelle Beart)
257,Gene Autry,1937-1950,Autry,Gene,M,1907,1998,R:easy-going cowboy,\Am,,St(Republic)
258,Frankie Avalon,1960-1978,Avallone,Francis,M,1939,199x,R:light lead,\Am,,"Also(pop singer, trumpeter)"
259,Luis Avalos,,,,M,[1],199x,RU:,\Un,,|
260,Doe Avedon,1954-1956,Avedon,Doe,F,1928,199x,R:lead,\Am,,
261,Brian Avery,,,,M,[1],199x,RU:,\Un,,|
262,Margaret Avery,,,,F,[1],199x,RU:,\Un,,|
263,Nina Axelrod,,,,F,[1],199x,RU:,\Un,,|
264,Hoyt Axton,,,,M,[1],199x,RU:,\Un,,|
265,George Ayer,,,,M,[1],199x,RU:,\Un,,|
266,Dan Aykroyd,1980-1988,Aykroyd,Dan,M,,199x,R:comic lead,\Am,,
267,Felix Aylmer,1933-1968,Aylmer Jones,Felix Edward,M,1889,1979,"R:schoolmasters, bishops",\Br,,
268,Agnes Ayres,1919-1937,Hinkle,Agnes,F,1896,1940,R:silent lead,\Am,,
269,Gregg Ayres,,,,M,[1],199x,RU:,\Un,,|
270,Lew Ayres,1929-1972,Ayer,Lewis,M,1908,1997,R:boyish lead,\Am,,
271,Robert Ayres,1949-1968,Ayres,Robert,M,1914,1968,"R:strong, silent",\Ca,,
272,Randle Ayrton,1918-1978,Ayrton,Randle,M,1869,1940,R:character,\Br,,
273,Shabana Azmi,,,,F,[1],199x,RU:,\Un,,|
274,Charles Aznavour,1958-1976,Aznavurjan,Shahnour,M,1924,1992,R:small rugged lead,\Tu,,Or(Armenian) Mt( Or(Sw))
275,Candy Azzara,,,,F,[1],199x,RU:,\Un,,|
276,Hank Azaria,,,,M,1964,199x,R:comic,\Un,,Lw(Helen Hunt)
277,Lauren Bacall,1944-1981,Perske,Betty Jean,F,1924,199x,R:sultry to resourceful,\Am,,"Mt(Humphrey Bogart) Lw(Frank Sinatra, Anthony Quinn) Aw(AFI#20) Aw(AP)"
278,Barbara Bach,1977-1981,Bach,Barbara,F,1951,199x,R:lead,\Ge,,Mt(Ringo Starr)
279,Pamela Bach,,Bach,Pamela,F,1962,199x,RU:,\Am,,Mt(David Haselhoff; singer)
280,Amitabh Bachchan,1970-1980,bn,fn,M,1942,199x,R:romantic hero Am,,Nt(India's most popular male star),|
281,Jim Backus,1958-1980,Backus,Jim,M,1913,1989,R:burly comedian,\Am,,"Also(vaudeville,radio)"
282,Kevin Bacon,1984-1990,,,M,[1],199x,RU:,\Un,,Cit(3)
283,Hermione Baddeley,1940-1964,Baddely,Hermione,F,,1986,R:sr,\Ct,,
284,Alan Badel,1953-1980,Badel,Alan,M,1923,1982,R:sensitive,\Br,,
285,Buddy Baer,1949-1961,Baer,Jacob Henry,M,1915,199x,RU:,\Am,,Si(Max Baer) Also(boxer)
286,Harry Baer,1979-1980,,,M,[1],199x,RU:,\Un,Cit(2),|
287,Max Baer,1933-1958,Baer,Max,M,1909,1959,R:boxer,\Am,,Also(boxer)
288,Pearl Bailey,1047-1976,Bailey,Pearl,F,1918,1990,R:black singer,\Am,,
