,movie,actor,type,role
118,T:Thais,Thais Galizky,\Und,RU:
119,T:Il processo Clemenceau,Francesca Bertini,\Und,RU:
120,T:Il processo Clemenceau,Gustavo Serena,\Und,RU:
121,T:Il processo Clemenceau,Alfredo DeAntoni,\Und,RU:
122,T:Il processo Clemenceau,Lido Manetti,\Und,RU:
123,T:Il processo Clemenceau,Nella Montagna,\Und,RU:
124,T:Il processo Clemenceau,Vittorio DeSica,\Und,RU:
125,T:I Bury the Living,Richard Boone,\Und,RU:
126,T:I Bury the Living,Theodore Bikel,\Und,RU:
127,T:Ma Vie En Rose,Georges duFresne,\Und,"R:little boy, thinks he's a girl"
128,T:Ms.~45,Zoe Tamerlis,\Und,"R:mute, raped twice, revenges"
129,TZ:Ms.~45,Steve Singer,\Und,RU:
130,T:Ms.~45,Jack Thibeau,\Und,RU:
131,T:Ms.~45,Peter Yellen,\Und,RU:
132,T:King of New York,Christopher Walken,\Und,R:drug lord
133,T:Bad Luitenant,Harvey Keitel,\Und,R:cop gone awry
134,T:Bad Luitenant,Zoe Lund,\Und,R:junkie girlfriend
135,T:Bad Luitenant,Frankie Thorn,\Und,R:raped nun
136,T:Dangerous Game,Madonna,\Und,R:star
137,T:Dangerous Game,Harvey Keitel,\Und,"R:director, confused"
138,T:Dangerous Game,James Russo,\Und,RU:
139,T:Body Snatchers,Gabrielle Anwar,\Und,"R:petulant teenager, attacked in sleep ""Marti Malone"""
140,T:Body Snatchers,Terry Kinney,\Und,R:father
141,T:Body Snatchers,Meg Tilly,\Und,R:seductive stepmother
142,T:Body Snatchers,Reilly Murphy,\Und,R:Marti's son
143,T:Burning Secret,Faye Dunaway,\Lov,R:diplomat's wife
144,T:Burning Secret,Klaus Maria Brandauer,\Und,R:romantic wounded baron
145,T:Burning Secret,David Ebbets,\Und,R:asthmatic son
146,T:Burning Secret,Ian Richardson,\Und,R:aging diplomat
147,T:Burning Secret,John Nettleton,\Sci,R:doctor
148,TZ:Burning Secret,N. Ottering,\Und,R:concierge
149,T:The Cement Garden,Andrew Robertson,\Und,"R:miserable teenager, loves older sister ""Jack"""
150,T:The Cement Garden,Sinead Cusack,\Und,R:ailing mother
151,T:The Cement Garden,Charlotte Gainsbourg,\Und,R:incestuous older sister
152,T:Too Bad She's Bad,Sophia Loren,\Und,R:freeliving daughter
153,T:Too Bad She's Bad,Vittorio deSica,\Und,R:accomplished pickpocket father
154,T:Too Bad She's Bad,Marcello Mastroianni,\Und,RU:
155,T:And God Spoke,Michael Riley,\Und,"R:unlucky director ""Clive Walton"""
156,T:And God Spoke,Stephen Rappaport,\Und,"R:failing epic producer ""Marvin Handleman"""
157,T:And God Spoke,s a,\Und,"R:tatooed vrigin ""Mary"""
158,T:Real Life,Albert Brooks,\Und,"R:ducumentary movie director, frustrated, burns All-American house down"
159,T:Real Life,Frances Lee McCain,\Und,"R:All-American mother ""Jeanette Yeager"""
160,T:Real Life,s a,\Und,R:All-American father
161,T:Real Life,Charles Grodin,\Und,RU:
162,T:Modern Romance,Albert Brooks,\Und,RU:
163,TZ:Modern Romance,Kathryn Harrold,\Und,RU:
164,TZ:Modern Romance,Bruno Kirby,\Und,RU:
165,TZ:Modern Romance,James L. Brooks,\Und,RU:
166,TZ:Modern Romance,Meadowlark Lemon,\Und,RU:
167,TZ:Modern Romance,George Kennedy,\Und,RU:
168,T:Modern Romance,Super Dave Osborne,\Und,R:sporting goods salesman
169,T:Lost in America,Albert Brooks,\Und,"R:ad exec, escapes job in RV"
170,T:Lost in America,Julie Hagerty,\Und,"R:wife, loses nest egg"
171,T:Lost in America,Garry K. Marshall,\Und,R:casino boss
172,T:Lost in America,Art Frankel,\Und,R:job counselor
173,T:Defending Your Life,Albert Brooks,\Und,"R:yuppie adman, died untimely"
174,T:Defending Your Life,Lee Grant,\Und,R:heavenly judge
175,T:Defending Your Life,s a,\Und,R:heavenly prosecutor
176,T:Defending Your Life,Meryl Streep,\Und,R:dead perfect mother
177,T:Defending Your Life,Rip Torn,\Und,R:defense lawyer
178,T:Defending Your Life,Shirley MacLaine,\Cam,R:believer
179,T:Mother,Debbie Reynolds,\Und,R:befuddled mother
180,T:Mother,s a,\Und,"R:son, writer, moves back home"
181,T:The Muse,Jennifer Tilly,\Und,R:ditzy movie starjon
182,T:Just Between Friends,Mary Tyler Moore,\Und,R:disatisfied houswife
183,T:Just Between Friends,Ted Danson,\Und,RU:
184,T:Just Between Friends,Christine Lahti,\Und,R:lesbian love
185,T:Just Between Friends,Sam Waterston,\Und,"RZ:older husband, dies"
186,T:Just Between Friends,Salome Jens,\Und,RU:
187,T:Busman's Honeymoon,Robert Montgomery,\Und,R:landlord
188,T:Busman's Honeymoon,Constance Cummings,\Und,RS:bride
189,T:Busman's Honeymoon,Seymour Hicks,\Und,R:comic
190,T:Busman's Honeymoon,Leslie Banks,\Und,R:husband
191,T:Busman's Honeymoon,Robert Newton,\Und,RU:
192,T:Busman's Honeymoon,Googie Withers,\Und,RU:
193,T:Busman's Honeymoon,Frank Pettingell,\Und,RU:
194,TZ:Portrait of a Hitman,Jack Palance,\Und,RU:
195,TZ:Portrait of a Hitman,Richard Roundtree,\Und,RU:
196,TZ:Portrait of a Hitman,Ann Turkel,\Und,RU:
197,TZ:Portrait of a Hitman,Bo Svenson,\Und,RU:
198,TZ:Portrait of a Hitman,Rod Steiger,\Und,RU:
199,T:Menace II Society,s a,\Und,"R:black teen, murders"
200,T:Menace II Society,s a,\Und,"R:Korean storekeeper, murdered"
201,T:Menace II Society,s a,\Und,"R:Korean storekeeper's wife, murdered"
202,T:Don Juan,John Barrymore,\Und,"R:rogue ""Don Juan"""
203,T:Don Juan,Mary Astor,\Und,"RN:""Lucretia Borgia"""
204,T:Don Juan,Warner Oland,\Und,RU:
205,T:Don Juan,Estelle Taylor,\Und,RU:
206,T:Don Juan,Myrna loy,\Und,RU:
207,T:Don Juan,Phyllis Haver,\Und,RU:
208,T:Don Juan,Willard Louis,\Und,RU:
209,T:Don Juan,Montague Love,\Und,RU:
210,T:The Beloved Rogue,John Barrymore,\Her,"R:rogue, befriends king ""Francois Villon"""
211,T:The Beloved Rogue,Conrad Veidt,\Und,"R:king ""Louis XI"""
212,T:The Beloved Rogue,Marceline Day,\Lov,RU:
213,T:The Beloved Rogue,Mack Swain,\Und,RU:
214,T:The Beloved Rogue,Slim Summerville,\Und,RU:
215,T:In Old San Francisco,Anna May Wong,\Und,R:villain
216,T:In Old San Francisco,Sojin,\Und,RU:
217,T:The Jazz Singer,Al Jolson,\Und,"R:boy singer, cantor's son"
218,T:The Jazz Singer,May McAvoy,\Und,RU:
219,T:The Jazz Singer,Warner Oland,\Und,RU:
220,T:The Jazz Singer,Eugenie Besserer,\Und,RU:
221,T:The Jazz Singer,Otto Lederer,\Und,RU:
222,T:Glorious Betsy,Conrad Nagel,\Und,R:Napoleons younger brother
223,T:Glorious Betsy,Dolores Costello,\Und,R:Baltimore beauty
224,T:Glorious Betsy,John Miljan,\Und,RU:
225,T:Glorious Betsy,Marc McDermott,\Und,RU:
226,T:Glorious Betsy,Betty Blythe,\Und,"RZ:princess ""Fredericka von Wurttemberg"""
227,T:Glorious Betsy,Paul Panzer,\Und,RU:
228,T:Glorious Betsy,Michael Vavitch,\Und,RU:
229,T:Glorious Betsy,Pasquale Amato,\Und,"R:emperor ""Napoleon"""
230,T:The Great Impersonation,Edmund Lowe,\Und,"R:German, impersonates British nobleman"
231,T:The Great Impersonation,Valerie Hobson,\Und,RZ:nobleman's wife
232,T:The Great Impersonation,Vera Engels,\Und,RU:
233,T:The Great Impersonation,Henry Mollison,\Und,RU:
234,T:The Great Impersonation,Lumsden Hare,\Und,RU:
235,T:The Great Impersonation,Spring Byington,\Und,RU:
236,T:The Great Impersonation,Charles Waldron,\Und,RU:
237,T:The Great Impersonation,Dwight Frye,\Und,RU:
238,T:Went the Day Well?,Leslie Banks,\Und,"R:villager, resists paratroopers"
239,T:Went the Day Well?,Elizabeth Allen,\Und,RU:
240,T:Went the Day Well?,Frank Lawton,\Und,RU:
241,T:Went the Day Well?,Basil Sidney,\Und,RU:
242,T:Went the Day Well?,Valerie Taylor,\Und,RU:
243,T:Went the Day Well?,Mervyn Johns,\Und,RU:
244,T:Went the Day Well?,Edward Rigby,\Und,RU:
245,T:Went the Day Well?,Marie Lohr,\Und,RU:
246,T:Went the Day Well?,C.V. France,\Und,RU:
247,T:Went the Day Well?,David Farrar,\Und,RU:
248,T:Dead of Night,Mervyn Jones,\Und,"R:architect, dreams"
249,T:Dead of Night,Roland Culver,\Vic,"R:psychiatrist, killed"
250,T:Dead of Night,Mary Merrall,\Und,RU:
251,T:Dead of Night,Judy Kelly,\Und,RU:
252,T:Dead of Night,Anthony Baird,\Und,RU:
253,T:Dead of Night,Miles Malleson,\Und,RU:
254,T:Dead of Night,Sally Ann Howes,\Und,RU:
255,T:Dead of Night,Frederick Valk,\Und,RU:
256,T:Dead of Night,Googie Withers,\Und,RU:
257,T:Dead of Night,Ralph Michael,\Und,RU:
258,T:Dead of Night,Esm\'e Percy,\Und,RU:
259,T:Dead of Night,Basil Radford,\Und,RU:
260,T:Dead of Night,Naunton Wayne,\Und,RU:
261,T:Dead of Night,Michael Redgrave,\Und,R:schizophrenic ventriloquist
262,T:Dead of Night,Hartley Power,\Und,R:rival
263,T:Dead of Night,Frederick Valk,\Und,R:psychoanalyst
264,T:Dead of Night,Elizabeth Welch,\Und,RU:
265,T:Nicholas Nickleby,Derek Bond,\Und,"R:schoolmaster, joins entertainer"
266,T:Nicholas Nickleby,Cedric Hardwicke,\Und,"R:mean uncle, usurer"
267,T:Nicholas Nickleby,Alfred Drayton,\Und,"RZ:helper, adopted, turns out to be cousin"
268,T:Nicholas Nickleby,Sybil Thorndyke,\Und,RZ:deceived mother
269,T:Nicholas Nickleby,Stanley Holloway,\Und,RZ:traveling entertainer
270,T:Nicholas Nickleby,Sally Ann Howes,\Und,"RZ:innocent sister, being bartered ""Kathy"""
271,T:Nicholas Nickleby,Jill Balcon,\Und,"RZ:love, forced to marry uncle to save father"
272,T:Nicholas Nickleby,Cyril Fletcher,\Und,RZ:rich wimp
273,T:Nicholas Nickleby,Fay Compton,\Und,RZ:aunt
274,T:Nicholas Nickleby,s a,\Und,"R:father, dies prior to marriage"
275,T:Nicholas Nickleby,s a,\Und,"R:maltreated servant, revenges"
276,T:Leave it to Beaver,Cameron Finley,\Und,"R:kid ""Beaver"""
277,T:Leave it to Beaver,Christopher McDonald,\Und,"RN:""Ward"""
278,T:Leave it to Beaver,Janine Turner,\Und,"RN:""June"""
279,T:Leave it to Beaver,Erik vonDetten,\Und,"RN:""Wally"""
280,"T:Fedora, or Piu Forte dell'Odio e Amore",Pina Menichelli,\Und,RU:
281,T:I Can Take Care of Myself,Myron McCormick,\Und,R:piano player
282,T:I Can Take Care of Myself,Frankie Darro,\Und,"R:mobster, punched"
283,T:I Can Take Care of Myself,Linda Lawson,\Und,"R:beautiful singer, insults mobster, killed"
284,T:I Can Take Care of Myself,Pat Harrington~jr.,\Und,"R:goon, pretends to sell life insurance"
285,T:I Can Take Care of Myself,Will Kuluva,\Und,"RZ:goon, pretends to be detective"
286,T:I Can Take Care of Myself,Leonard Weinrib,\Und,RZ:nightclub owner
287,T:I Can Take Care of Myself,Edmon Ryan,\Und,RU:
288,T:I Can Take Care of Myself,William Sharon,\Und,R:back-up pianist
289,T:The Money,Robert Loggia,\Und,R:ingratiating bookie
290,T:The Money,Doris Dowling,\Und,R:money-hungry girlfriend
291,T:The Money,Will Kuluva,\Und,"R:father's friend, importer"
292,T:The Money,Wolfe Barzell,\Und,R:importer's collegue
293,T:The Money,Monica May,\Und,R:importer's secretary
294,T:The Man Who Found The Money,Arthur Hill,\Und,"R:gambler, finds and turns in money clip, accused"
295,T:The Man Who Found The Money,R.G. Armstrong,\Und,R:police captain
296,T:The Man Who Found The Money,Rod Cameron,\Und,R:clip's owner
297,T:The Kiss Off,Rip Torn,\Und,"R:falsely convicted, takes revenge"
298,T:The Kiss Off,Mary Munday,\Und,R:witness in tax office
299,T:The Kiss Off,Ken Patterson,\Und,"R:teller, held up"
300,T:The Kiss Off,Florence McMichael,\Und,R:wife
301,T:The Kiss-Off,Harry Swooger,\Und,"R:surly taxi-driver, witness"
302,T:The Kiss Off,Don Keefer,\Und,RZ:desk clerk
303,T:The Kiss-Off,Frank Sully,\Und,RZ:cop
304,T:The Kiss-Off,Bert Freed,\Und,"R:district attorney, concedes ""Cooper"""
305,T:Deathmate,Lee Phillips,\Und,R:handsome con-man
306,T:Deathmate,Gia Scala,\Und,R:mistress
307,T:Deathmate,Les Tremaye,\Und,"R:wimpy husband, suspect, murdered"
308,T:Deathmate,Ann Stanton,\Und,RU:
309,T:Deathmate,Russell Collins,\Und,R:detective
310,T:Gratitude,Peter Falk,\Und,"R:racketeer, fears death"
311,T:Gratitude,Paul Hartman,\Und,"R:devoted valet, shoots boss"
312,T:Gratitude,Edmund Haskin,\Und,"RZ:police luitenant, after gamblers"
313,T:Gratitude,John Dennis,\Und,RZ:racketeer
314,T:Gratitude,Bert Rensen,\Und,RU:
315,T:Gratitude,Karl Lukas,\Und,RU:
316,T:Gratitude,Ada Stewart,\Und,R:gambles
317,T:Gratitude,Phil Gordon,\Und,RU:
318,T:Gratitude,Clegg Hoyt,\Und,RU:
319,T:The Gloating Place,Susan Harrison,\Und,"R:fakes assault, strangled"
320,T:Servant Problem,John Emery,\Und,R:has to cook for party
321,T:Servant Problem,Jo vanFleet,\Und,"R:boozy wife, shows up"
322,T:Servant Problem,Alice Frost,\Und,R:influential guest
323,T:The Hat Box,Paul Ford,\Und,"R:professor, murder suspect"
324,T:The Hat Box,Billy Gray,\Und,R:cheating student
325,T:The Hat Box,Frank Maxwell,\Und,"R:police agent, mollified"
326,T:Keep Me Company,Anne Francis,\Inn,R:bored wife
327,T:Keep Me Company,Edmund Hashim,\Vil,"R:works late, robber"
328,T:Keep Me Company,Jack Ging,\Agt,R:detective
329,T:Beta Delta Gamma,Duke Howard,\Und,R:beery student
330,T:Beta Delta Gamma,Burt Brinckerhoff,\Und,R:challenged
331,T:The Right Kind of Medicine,Robert Redford,\Und,"R:burglar, kills cop, clerk"
332,T:The Right Kind of Medicine,Russell Collins,\Und,"R:pharmacist, makes mistake in prescription"
333,T:The Right Kind of Medicine,George Clarke,\Und,R:unsavory doctor
334,T:The Right Kind of Medicine,Joby Baker,\Und,"R:phramacist's clerk, shot"
335,T:The Right Kind of Medicine,Bernard Kates,\Und,R:witness
336,T:The Right Kind of Medicine,King Calder,\Und,"R:police luitenant, gloats"
337,T:The Right Kind of Medicine,Bob Karnes,\Und,R:police sergeant
338,T:The Right Kind of Medicine,Bert Remsen,\Und,R:cop with cough
339,T:The Right Kind of Medicine,Harry Swoger,\Und,R:neighbor
340,T:The Case of M.J.H.,Barbara Baxley,\Und,R:lonely assistamt
341,T:The Case of M.J.H.,Ted Newton,\Und,R:psychiatrist boss
342,T:The Case of M.J.H.,Robert Loggia,\Und,"R:petty crook, blackmails"
343,T:The Case of M.J.H.,Richard Gaines,\Und,"R:blackmailed, kills crook"
344,T:The Woman Who Wanted to Live,Lola Allbright,\Und,R:accosted
345,T:The Woman Who Wanted to Live,Charles Bronson,\Und,R:escaped convict
346,T:Apex,Mark Miller,\Und,R:unfaithful husband
347,T:Apex,Vivienne Segal,\Und,"R:rich wife, poisoned"
348,T:Apex,Pat Breslin,\Und,"R:wife's friend, mistress, deceives lover, killed"
349,T:The Big Kick,Brian Hutton,\Und,R:beatnik
350,T:The Big Kick,Anne Helm,\Und,R:beatnik
351,T:The Big Kick,Wayne Rogers,\Und,"R:older guy, deceives, kills"
352,T:The Night of the Owl,Brian Keith,\Und,"R:protective forest ranger, blackmailed"
353,T:The Night of the Owl,Patricia Breslin,\Und,R:wife
354,T:The Night of the Owl,Claudia Cravey,\Und,R:adopted
355,T:House Guest,Robert Sterling,\Und,R:rescuer
356,T:House Guest,Billy Mumy,\Und,R:saved son
357,T:House Guest,MacDonald Carey,\Und,R:father
358,T:House Guest,Peggy McKay,\Und,R:mother
359,T:House Guest,s a,\Und,"R:camper, in on scam"
360,T:Last Seen Wearing Bluejeans,Michael Wilding,\Und,R:british tourist
361,T:Last Seen Wearing Bluejeans,Anna Lee,\Und,R:wife
362,T:Last Seen Wearing Bluejeans,Katherine Crawford,\Und,"R:daughter, becomes witness"
363,T:Last Seen Wearing Bluejeans,Randy Boone,\Und,R:helpful rancher
364,T:Last Seen Wearing Bluejeans,s a,\Und,R:crooked cafe owner
365,"T:Rita, Sue and Bob Too",George Costigan,\Und,R:middle-class Don Juan
366,"T:Rita, Sue and Bob Too",Siobhan Finneran,\Und,"R:teenager, lover ""Rita"""
367,"T:Rita, Sue and Bob Too",Michelle Holmes,\Und,"R:teenager, lover ""Sue"""
368,"T:Rita, Sue and Bob Too",Lesley Sharp,\Und,RU:
369,"T:Rita, Sue and Bob Too",Kulvinder Ghir,\Und,RU:
370,T:Fiend Without a Face,Marshall Thompson,\Und,"R:scientist, threatened"
371,"T:Murder, Obliquely",Laura Dern,\Und,"R:loves Dwight ""Annie"""
372,"T:Murder, Obliquely",Alan Rickman,\Und,"R:engaged ""Dwight: """
373,"T:Murder, Obliquely",Diane ladd,\Und,"R:fiancee, disappearsx"
374,T:The Little Princess,Liesel Mathews,\Und,"R:exuberant girl ""Sara Crewes"""
375,T:The Little Princess,Eleanor Brown,\Und,"R:headmistress ""Miss Minchin"""
376,T:Great Expectations,Gwyneth Paltrow,\Und,"R:ccold, beautiful duchess Estella"""
377,T:Great Expectations,Ethan Hawke,\Und,"R:painter ""Finn"""
378,T:Great Expectations,Robert deNiro,\Und,R:benefactor
379,T:Great Expectations,Anne Bancroft,\Und,RU:
380,T:Therese,Catherine Mouchet,\Und,"R:saint ""Theresa"""
381,T:Therese,Aurore Prieto,\Und,RU:
382,T:Therese,Sylvie Habault,\Und,RU:
383,T:Repo Man,Harry Dean Stanton,\Und,R:sociopath
384,T:Repo Man,Emilio Estevez,\Und,R:sociopath
385,T:Repo Man,Tracey Walker,\Und,R:acidhead philosopher
386,T:Repo Man,Vonetta McGee,\Und,"RN:""Marlene"""
387,T:Repo Man,Fox Harris,\Und,R:lobotomized scientist
388,T:Sid and Nancy,Gary Oldman,\Und,"R:punk rocker, destroyed ""Sid Vicious"""
389,T:Sid and Nancy,Chloe Webb,\Und,R:American girlfriend
390,T:Sid and Nancy,David Hayman,\Und,RU:
391,T:Les Amants de Verone,Pierre Brasseur,\Und,"R:star, lover"
392,T:Les Amants de Verone,Anouk Aimee,\Und,"R:stand-in starlet, love"
393,T:Les Amants de Verone,Serge Reggiani,\Und,"R:studio carpenter, lover"
394,T:Justice est Fait,Claude Noiller,\Und,R:accused of murder of her lover
395,T:Justice est Fait,Valentine Tessier,\Und,R:juror
396,TZ:Eye for an Eye,Curt Jurgens,\Und,R:doctor
397,TZ:Eye for an Eye,Folco Lulli,\Und,R:demented
398,TZ:Eye for an Eye,Lea Padovani,\Und,"RZ:wife, dies"
399,T:Verdict,Jean Gabin,\Und,"R:judge, kidnapped"
400,T:Verdict,Sophia Loren,\Und,R:gangster's widow
401,T:Verdict,Henri Garcin,\Und,"R:gangster's son, accused"
402,T:Verdict,Julien Bertheau,\Und,RU:
403,T:Aerograd,Semyon Shaigada,\Und,R:guard
404,T:Aerograd,Stepan Shkurat,\Und,RU:
405,T:Aerograd,Sergei Stolyarov,\Und,RU:
406,T:The Memory of the Other,Lyda Bonelli,\Und,RU:
407,T:The Memory of the Other,Mario Bonnard,\Und,RU:
408,T:The Constant Nymph,Ivor Novello,\Und,R:composer
409,T:The Constant Nymph,Mary Clare,\Und,RU:
410,T:The Constant Nymph,Mabel Poulton,\Und,RU:
411,T:The Constant Nymph,Benita Hume,\Und,RU:
412,T:The Moneytree,Christopher Dienstag,\Und,R:grows weed
413,T:The Moneytree,Monica Caldwell,\Und,R:worried girlfriend
414,T:Nine 1/2 Weeks,Kim Basinger,"\Lov, Vic","R:art gallery assistant, divorcee, falls ""Elizabeth"""
415,T:Nine 1/2 Weeks,Mickey Rourke,\Lov,"R:weird enigmatic arbitrageur, plays with sex, emotions ""John"""
416,T:Nine 1/2 Weeks,Margaret Whitton,\Sdk,"R:sensible collegue, sexy friend"
417,T:Nine 1/2 Weeks,Karen Young,\Sdk,R:collegue
